# Equilibrio L-V con potencial Lennard-Jones

units           lj
atom_style      atomic

# Crear caja inicial (10x10x10) con red FCC y replicar en X
lattice         fcc 0.8442
Lattice spacing in x,y,z = 1.6795962 1.6795962 1.6795962
region          box block 0 10 0 10 0 10
create_box      1 box
Created orthogonal box = (0 0 0) to (16.795962 16.795962 16.795962)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 4000 atoms
  using lattice units in orthogonal box = (0 0 0) to (16.795962 16.795962 16.795962)
  create_atoms CPU = 0.007 seconds
replicate       3 1 1
Replication is creating a 3x1x1 = 3 times larger system...
  orthogonal box = (0 0 0) to (50.387886 16.795962 16.795962)
  1 by 1 by 1 MPI processor grid
  12000 atoms
  replicate CPU = 0.019 seconds

# Borrar las regiones laterales (sólo conservar el centro)
group           extremos id <> 1 4000
4000 atoms in group extremos
group           extremos id <> 8001 12000
8000 atoms in group extremos
delete_atoms    group extremos
Deleted 8000 atoms, new total = 4000

mass            1 1.0
neigh_modify    delay 5

# Inicialización de velocidades
velocity        all create 0.7 87287

# Interacción Lennard-Jones
pair_style      lj/cut 2.5
pair_coeff      1 1 1.0 1.0

# Temperatura de simulación (editable)
variable        T equal 1.0

# Primera etapa: dinámica NVE
fix             f1 all nve

compute         tempi all temp
compute         press all pressure tempi

# Registro de temperatura y presión
fix             f_temp all ave/time 10 10 100 c_tempi file temperatura_${T}.out
fix             f_temp all ave/time 10 10 100 c_tempi file temperatura_1.out
fix             f_press all ave/time 10 10 100 c_press file prico_${T}.out
fix             f_press all ave/time 10 10 100 c_press file prico_1.out

# Registro del tensor de presión completo
fix             f_tensor all ave/time 10 10 100 c_press[1] c_press[2] c_press[3] c_press[4] c_press[5] c_press[6] file ptensor_${T}.out
fix             f_tensor all ave/time 10 10 100 c_press[1] c_press[2] c_press[3] c_press[4] c_press[5] c_press[6] file ptensor_1.out

# Dump inicial para observar evolución
dump            d1 all atom 100 dump_${T}.melt
dump            d1 all atom 100 dump_1.melt

thermo_style    custom step density pe ke etotal
thermo          50
timestep        0.005

# Corrida inicial para estabilización
run             20000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 5 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 36 12 12
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.654 | 3.654 | 3.654 Mbytes
   Step        Density         PotEng         KinEng         TotEng    
      7600   0.2814        -6.3639991      0.84529541    -5.5187037    
      7650   0.2814        -6.3802139      0.86141792    -5.518796     
      7700   0.2814        -6.3612945      0.84283172    -5.5184628    
      7750   0.2814        -6.3622581      0.84455536    -5.5177027    
      7800   0.2814        -6.3481906      0.83256477    -5.5156258    
      7850   0.2814        -6.3427628      0.83039098    -5.5123718    
      7900   0.2814        -6.3146512      0.80412221    -5.510529     
      7950   0.2814        -6.3077563      0.79932423    -5.5084321    
      8000   0.2814        -6.2882137      0.78189983    -5.5063138    
      8050   0.2814        -6.2876634      0.78225348    -5.5054099    
      8100   0.2814        -6.2853775      0.78005053    -5.505327     
      8150   0.2814        -6.2789813      0.77326704    -5.5057143    
      8200   0.2814        -6.2930688      0.78594983    -5.507119     
      8250   0.2814        -6.3004702      0.79177473    -5.5086955    
      8300   0.2814        -6.3320943      0.82103267    -5.5110616    
      8350   0.2814        -6.334503       0.82039189    -5.5141111    
      8400   0.2814        -6.3599913      0.8443499     -5.5156414    
      8450   0.2814        -6.3614785      0.84397201    -5.5175065    
      8500   0.2814        -6.3723731      0.85414996    -5.5182231    
      8550   0.2814        -6.3627325      0.84477132    -5.5179611    
      8600   0.2814        -6.3655411      0.84835395    -5.5171871    
      8650   0.2814        -6.3542439      0.8379688     -5.5162751    
      8700   0.2814        -6.3534438      0.83913009    -5.5143137    
      8750   0.2814        -6.3349787      0.82214585    -5.5128329    
      8800   0.2814        -6.3331199      0.82247855    -5.5106413    
      8850   0.2814        -6.3202065      0.81160516    -5.5086014    
      8900   0.2814        -6.3020529      0.79445033    -5.5076026    
      8950   0.2814        -6.2906163      0.78374883    -5.5068675    
      9000   0.2814        -6.309468       0.8018766     -5.5075914    
      9050   0.2814        -6.3034187      0.79511136    -5.5083073    
      9100   0.2814        -6.3152366      0.80601527    -5.5092213    
      9150   0.2814        -6.3191245      0.80817145    -5.5109531    
      9200   0.2814        -6.3433373      0.83025078    -5.5130865    
      9250   0.2814        -6.3482208      0.83358791    -5.5146329    
      9300   0.2814        -6.3500195      0.8343537     -5.5156658    
      9350   0.2814        -6.3536839      0.83747043    -5.5162135    
      9400   0.2814        -6.3499885      0.83324379    -5.5167448    
      9450   0.2814        -6.3599062      0.84363609    -5.5162701    
      9500   0.2814        -6.3517721      0.83636837    -5.5154037    
      9550   0.2814        -6.3570526      0.84223918    -5.5148135    
      9600   0.2814        -6.3390589      0.82585555    -5.5132034    
      9650   0.2814        -6.3398471      0.82793267    -5.5119145    
      9700   0.2814        -6.3384687      0.8278569     -5.5106118    
      9750   0.2814        -6.3158734      0.80659141    -5.509282     
      9800   0.2814        -6.3158378      0.80660944    -5.5092284    
